Scenario_ID,DayofYear,Time(hr),O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi_a,Chi_o,Chi_h
34,161,24,37.12623186,273.6299834,0.000100424,5.590994097,0.203431525,1.000537558,1.606250699,1.273363587,1.09438884,1.361328271,1.073296923,6.776891503,0.165222881,241.536,0.5503,0.004320176,0.047164074,0.466044956,0.879133966,0.002476443,0.959153443,0.922140256,0.873165477
44,8,0,42.56466187,443.1935396,0.172481493,8.106815243,0.200828944,0.999902645,2.569664296,0.967858103,0.93690547,1.680141424,1.091832605,2.709799889,1.814512079,246.608,0.4312,0.159788944,0.296208207,0.239974069,0.462167279,0.009085326,0.783939049,0.880223959,0.715149761
44,8,1,38.07140303,513.2276485,0.157437565,11.66836761,0.323466342,0.999858127,3.283099873,1.672753498,1.246535501,2.319822325,1.217588997,2.638533478,2.338279635,246.608,0.4312,0.23524036,0.44092532,0.623811763,1.203188931,0.015911315,0.779443755,0.837627122,0.674168241
44,8,2,35.8274622,520.7740854,0.135655247,13.12774521,0.405731007,0.999844496,3.371977075,1.990055326,1.314493415,2.638937627,1.286536556,2.475972842,2.393254221,246.608,0.4312,0.279316524,0.528710063,0.899185787,1.740426908,0.022141584,0.786032446,0.821792034,0.66811461
44,8,3,33.25628093,546.599361,0.14034828,14.97390226,0.475721883,0.999830871,3.653353875,2.323559212,1.443599292,2.909172359,1.344473608,2.489784385,2.599481592,246.608,0.4312,0.327836104,0.624127851,1.121563636,2.213506537,0.028954402,0.775427185,0.805680624,0.643709111
44,8,4,29.38102451,603.4217708,0.166903797,17.91715204,0.567876222,0.999807257,4.254063017,2.827385575,1.691763616,3.309774967,1.424557646,2.593596505,3.045802194,246.608,0.4312,0.381150816,0.729419414,1.369702951,2.850400668,0.037639289,0.777174375,0.798391723,0.641593585
44,8,5,25.59338109,660.1115194,0.198873908,20.84406147,0.653208227,0.999788688,4.852325701,3.310123311,1.936046964,3.678075558,1.498190424,2.73492113,3.491059819,246.608,0.4312,0.448692846,0.859915892,1.593199282,3.522497735,0.045714032,0.77320996,0.793071868,0.633219806
44,8,6,21.99057224,713.1945571,0.235330477,23.63221812,0.737467789,0.999773102,5.409695095,3.777958198,2.1676571,4.028527118,1.569679105,2.886450365,3.906835226,246.608,0.4312,0.498295476,0.957637611,1.662577291,3.747911125,0.054286234,0.752015934,0.780895533,0.603335829
44,8,7,18.33118348,770.2937627,0.308055828,26.66709119,0.819220272,0.99976055,6.012011028,4.255037879,2.415262583,4.34494417,1.636820051,3.126027399,4.362070177,246.608,0.4312,0.548760442,1.0564578,1.715630465,3.920776545,0.062390166,0.739009591,0.775200273,0.587559117
44,8,8,14.86749444,864.3527998,0.401447701,29.62015167,0.902095186,0.999749248,7.084595955,4.889063523,2.826508708,4.69753781,1.708224328,3.702593294,5.200484961,246.608,0.4312,0.614513769,1.183377271,1.779678187,4.115506211,0.070639919,0.725451094,0.770606229,0.571447917
