Scenario_ID,DayofYear,Time(hr),O3 (ppb),CO (ppb),NO (ppb),NOx (ppb),CH3OH (ppb),C2H6 (ppb),ETH (ppb),TOL(ppb),XYL (ppb),ALD2 (ppb),AONE (ppb),PAR (ppb),OLET (ppb),Temperature(K),RH,BC (ug/m3),OA (ug/m3),NH4 (ug/m3),NO3 (ug/m3),SO4 (ug/m3),Chi
595,138,23.0,102.8141224731227,531.2647892191087,1.0389402831540006e-05,1.064183785093866,0.7438556810706464,0.9846350231968152,0.5168024964989554,0.1614158381641283,0.0863457985624319,2.677843355621091,7.618265356307704,82.25298639225288,0.0066179555609914,295.968,0.8719999999999999,0.4585652859739807,1.8916377188857063,0.8446154792488104,0.5351677723584249,1.750699934936487,0.9242787537846184
595,138,24.0,99.69564847979368,514.3712302866562,9.984850969081005e-06,1.0289693026133464,0.7250473853805519,0.9854039801261842,0.4918625587787397,0.1579394530716928,0.0865218204128017,2.5732388256659653,7.281327393952964,78.03349949454265,0.0065645898131655,295.968,0.8719999999999999,0.4331541361938185,1.77083978716137,0.7908899157998295,0.4837348621531069,1.6561072310600655,0.9217668796352128
598,337,0.0,15.26504700791932,392.8962889443101,25.156351663707017,68.29941908182226,0.8452241041688757,0.9986432113369432,10.123004062985018,11.047175418728385,1.7540029755742803,6.910245181377867,4.683542633439512,86.08345606956073,4.546034265532547,267.973,0.6761,0.221513310866104,1.0878916582466838,2.538404404392852,6.724523939061064,0.0874040229571019,0.8289608668774008
598,337,1.0,17.04562071218346,429.4265718693673,31.93586706744125,76.29070790474921,0.9104225804078114,0.9984005801790172,12.173221522374424,12.63751775787261,2.0388502006908995,8.344588583152154,5.170647918186776,99.16393694572186,5.397237464447825,267.973,0.6761,0.2352877330244626,1.1989689433357804,2.734127798659839,7.482087147190177,0.1046568598088008,0.8506690624569685
598,337,2.0,20.205462222557628,462.0540966716486,35.45355566010972,81.42129588132022,0.9542527519122036,0.9980304761264526,13.862993477761483,13.2807490948319,2.201836320743201,10.182333693287331,5.504723532363131,106.92745533793716,5.916631543856352,267.973,0.6761,0.2511407008331158,1.3636536072527,3.0997411751300423,8.791506608434453,0.131405528665609,0.8797843801251939
598,337,3.0,24.377132803080464,475.4547637438806,36.62628225466505,84.63863384760793,0.9783838378638796,0.99755175193242,14.169830001171931,13.177099865942877,2.124427562826535,11.748504325514167,5.8244039380731145,107.14010214274384,5.600348482824538,267.973,0.6761,0.26661763741642,1.5828512828937389,3.745012911480452,10.93682730929594,0.1695342088785242,0.9018961438957268
598,337,4.0,31.780555202166216,463.9249373919647,30.923271309508376,77.36676389340228,0.9521205248757733,0.9970243070831518,12.98670071893528,12.151439252125176,1.820649344276083,12.313051291228936,5.8981485611852005,98.49034122924309,4.569632692590106,267.973,0.6761,0.2411684339306901,1.6378712731073513,4.38896773706637,13.095793186881274,0.201420674008315,0.9434436948098226
598,337,5.0,39.09416031598237,453.2927159203993,26.218520793689343,70.42832189642546,0.9169786375043116,0.9964946148573732,11.879853820407078,11.19174837376149,1.553588265291145,12.119869715580874,5.8921358400103045,91.36513994928502,3.6918653049716976,267.973,0.6761,0.212876275703999,1.6861955720256336,5.046149784190298,15.335184554977625,0.2333856793463398,0.9640123847951488
598,337,6.0,45.959794607299486,443.2967971270932,22.2956444524234,63.90335073199983,0.8779938401760365,0.995974848866238,10.853528831022729,10.300354202587238,1.3226240194813277,11.547656620390296,5.842694201957293,85.21735162390742,2.961181345508465,267.973,0.6761,0.2008802677483203,1.8219254977601391,4.809962222464124,15.09788469200661,0.2743069626997035,0.96852181467685
598,337,7.0,52.124825455065576,433.719777729169,19.00234520091555,57.863154754781775,0.8385979836778273,0.995475708184739,9.909162898148102,9.477539233738748,1.125476814579891,10.824829552970762,5.77033868911241,79.70401176577818,2.364168723201726,267.973,0.6761,0.1920760861080922,1.957169672761272,4.567484494834339,14.467664305122028,0.3146064048682556,0.9708716752202416
